id;name;paper_type;grade_level;score;question_count;suggest_time;limit_start_date;limit_ene_date;frame_text_content_id;create_by;create_date;deleted
1;Regional budgetary;79163;15103;78051;42545;41438;2021-10-19T14:53:17;2021-10-19T09:16:24;20630;86300;87566;true
2;Cotton primary back;60485;28083;33402;51773;77630;2021-10-20T04:47:33;2021-10-20T03:38:26;13311;85472;19250;false
3;Road Intranet Points;73797;79209;51057;20917;67485;2021-10-20T05:27:15;2021-10-19T16:22:37;95686;66952;70597;true
4;Pakistan stable Jewelery;86093;49438;48007;93913;48769;2021-10-20T00:46:29;2021-10-19T21:50:42;65687;59506;5899;true
5;International;33170;366;6585;70119;81055;2021-10-20T02:18:37;2021-10-19T13:59:36;2730;9749;34445;true
6;markets Lead Clothing;34835;77741;94885;91396;91932;2021-10-19T17:04:06;2021-10-19T22:47:02;52483;39102;64151;true
7;whiteboard;78052;40447;14200;85618;28863;2021-10-19T21:23:23;2021-10-19T06:26:14;9898;70400;72026;true
8;protocol Investment metrics;75398;4650;14639;84914;60803;2021-10-19T17:36:38;2021-10-19T11:11:21;32317;6284;94078;true
9;Loan Ball;56966;25111;92254;82555;55997;2021-10-19T09:48:58;2021-10-19T23:45:54;46740;58166;40224;false
10;disintermediate Automated;39570;8147;43565;37850;77773;2021-10-20T00:21:37;2021-10-19T12:55:14;276;67635;12714;true
