id;paper_name;paper_type;system_score;user_score;paper_score;question_correct;question_count;do_time;status;create_by;create_date
1;Bedfordshire Awesome one-to-one;58191;56607;31277;95397;21086;33732;27261;49729;31522;67272
2;Games;30056;5010;35226;90633;95184;26468;15940;12756;63794;63436
3;Aruba wireless;49521;24363;44322;99796;19339;2534;62657;69788;62362;61453
4;tan silver;1677;87053;10294;8970;19989;98902;43812;26666;19943;17497
5;Granite Berkshire pixel;12702;48964;70642;53848;2903;33649;54934;3513;45253;76509
6;ivory Research;82772;36215;39797;37345;9331;93246;41973;18316;75535;58410
7;Avon compress withdrawal;70241;78470;73944;93808;24064;14798;51812;55073;54707;9586
8;Tools Representative yellow;19017;35805;87641;60498;11512;36795;21444;11388;52349;47450
9;Account Metal Avon;2123;78507;4611;61766;68076;76581;63535;17028;23559;864
10;collaborative state;90638;60058;7945;47705;88821;81992;75364;97852;11434;50528
