id;question_type;customer_score;question_score;question_text_content_id;answer;ext_conte;create_by;create_date;item_order
1;3135;90429;49306;3495;portals Bedfordshire Cheese;false;Shirt AI;2021-10-19T07:42:17;34297
2;3846;46610;35996;56521;Forges;true;Legacy;2021-10-20T00:42:21;43765
3;15034;42606;90960;61273;withdrawal Bedfordshire;false;Buckinghamshire Rupiah;2021-10-20T01:30:22;44488
4;36688;19466;63241;32801;THX;true;Checking;2021-10-19T06:55:01;42876
5;55467;62441;93319;34502;Maine Engineer Beauty;true;Administrator Garden Fresh;2021-10-19T11:55:38;39231
6;41272;88715;92775;96871;drive;false;Loan Sahara payment;2021-10-19T12:51:06;64201
7;13353;71810;26203;56733;hack Wisconsin Account;true;Mouse copy cyan;2021-10-19T17:22:41;38768
8;14369;51100;81796;69576;Fields Mobility XSS;true;infrastructures Minnesota;2021-10-20T06:03:46;61045
9;3515;63784;10053;22328;zero;false;Fundamental Cotton program;2021-10-19T07:49:08;3
10;82298;10717;51286;99336;Inverse Honduras;true;Small;2021-10-20T04:15:28;97045
