id;receive_user_id;receive_username;receive_real_name;jhi_read;create_date;read_date
1;35213;Salad Facilitator;Samoa multi-tasking;false;2021-10-19T07:52:47;2021-10-19T14:04:59
2;35566;B2C Engineer Account;hardware;false;2021-10-19T09:01:00;2021-10-19T21:12:07
3;95293;Multi-lateral;Frozen Avon;true;2021-10-20T03:16:06;2021-10-19T06:56:26
4;95276;Sports;Bike Assistant Synchronised;false;2021-10-19T13:15:24;2021-10-19T18:24:32
5;3255;Garden Account Frozen;Games Branding invoice;false;2021-10-19T20:03:46;2021-10-19T19:11:16
6;41348;plum;online;false;2021-10-20T02:16:58;2021-10-19T23:36:32
7;30482;connect Outdoors withdrawal;Seamless;false;2021-10-19T07:42:02;2021-10-20T02:44:42
8;62580;Facilitator Unbranded;firmware Managed Berkshire;true;2021-10-19T18:49:46;2021-10-19T15:20:14
9;87006;transmitting;Chips Forward Data;false;2021-10-19T23:39:55;2021-10-19T14:55:28
10;96424;platforms green Multi-layered;withdrawal;true;2021-10-19T12:56:35;2021-10-19T10:35:30
