id;name;level;level_name;item_order;deleted
1;Nigeria Sleek;54958;functionalities Kuna;27024;false
2;Gloves;53173;Handcrafted Account;24235;true
3;Awesome;48686;generate multi-byte;46820;false
4;Human orchid capacitor;78617;methodical Gloves;38516;true
5;Unbranded Albania Frozen;48127;Loan Frozen;90334;true
6;frame Oklahoma Plastic;6013;wireless evolve;15535;true
7;Fall Fall navigating;64215;Baby Creative Toys;32186;false
8;discrete Sleek Lake;36059;secondary;25064;true
9;enhance matrix Berkshire;60773;Fresh purple;5579;true
10;Designer Balanced Plains;44121;Music;29845;true
