id;title;grade_level;frame_text_content_id;create_by;create_by_user_name;create_date;deleted
1;Michigan conglomeration Principal;77526;52279;Robust deposit reboot;infomediaries infrastructures;2021-10-19T21:25:32;false
2;transmit Intelligent Exclusive;42261;91523;withdrawal Steel;Concrete Idaho;2021-10-19T11:09:35;true
3;red orange Cambridgeshire;98841;77743;Bedfordshire open-source;Cheese copy Lesotho;2021-10-19T12:21:43;true
4;hacking;54589;38635;digital Director solution;Account maroon purple;2021-10-19T09:24:10;false
5;Regional Credit;61004;71353;Car Response;Games solid;2021-10-19T14:21:06;false
6;Bahraini drive Account;43195;79669;Security CSS Trail;ROI plum;2021-10-19T21:42:11;true
7;quantifying Infrastructure Representative;19791;74375;quantify;Buckinghamshire Wooden;2021-10-19T09:28:22;true
8;Bacon system;32233;75070;primary;Planner multimedia Account;2021-10-19T14:13:38;false
9;Global;17151;94160;Licensed Sleek;Oregon proactive Regional;2021-10-19T10:20:04;true
10;Branding Tasty compressing;81881;39496;green Cross-group;Licensed orchid;2021-10-20T00:00:24;true
